input_usi	input_name	input_structure	input_partial_structure	input_molecule_origin	input_original_molecule_name	input_original_molecule_structure	input_microbe_ncbi	input_microbe_name	input_microbe_DNARNA	input_microbial_community	input_microbial_community_description	input_biosynthesis_mibig	input_biosynthesis_genes	input_biosynthesis_description	input_source	input_activity	input_concentration_activity	input_phenotype_associated	input_phenotype_direction	input_concentration_phenotype	input_references	input_references_link	grant_agency	grant_number	input_comment	task	user	database_id	input_confirmation	input_confirmation_description	createtime	inchikey	compound_inchikey	npatlas_url
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010007698	(R)-Oxypeucedanin	CC1(C)O[C@@H]1COc2c3ccoc3cc4OC(=O)C=Cc24		Diet											Diet						34451622				"Biomarker based on literature search for: (carrot); Found in foodMASST for: (salt, plant,lime)"	c0fbfdf61b28442dadd0b3ef159ef01a	wilhan.nunes	c0fbfdf61b28442dadd0b3ef159ef01a-8fe27706-392f-4b14-980a-86290180f599	Not applicable		2025-01-31T00:19:42.784350	QTAGQHZOLRFCBU-CYBMUJFWSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012330285	1-Caffeoylquinic acid	O[C@@H]1CC(C[C@@H](O)C1O)(OC(=O)\C=C\c2ccc(O)c(O)c2)C(O)=O		Diet											Diet						30519365				"Biomarker based on literature search for: (apple); Found in foodMASST for: (amaranth, orange bell pepper, iceberg lettuce, japanese eggplant, anise, rye, kale, young sweet corn, orange carrot, kombucha, cranberry, tomato, american cheese, cheese, strawberry, tupiro, crystal hops, yellow cherry tomato, napa cabbage, sparkling water, curly leaf lettuce, sunflower seed, honey, carrot, green pepper, globe artichoke, sunchoke, pineapple sage, rosemary, vegetable/herb, jalapeno pepper, tomato paste, quince, cassis, red bell pepper, plum, nasturtium leaf, yellow carrot, chili pepper, pachino cherry tomato, berry, apple, White tea, thai pepper, cilantro, watermelon, matcha green tea, Black tea, blenham apricot, donut peach, herb/spice, carrot greens, Flavored Black tea, lemon grass, black bean, nectarine, styrian golding hops, cream cheese, rhubarb, cherry tomato, wonderberry, green bean, yerba mate, mineral water, olive oil spread, apricot, wild rice, fruit, animal, collard greens, cucumber, meat, green bell pepper, Matcha tea, plant, balsamic vinegar, salt, apple_cider, dill,artichoke, chocolate mint, orange cherry tomato, pitaya, yellow squash, duck, Rooibos, almond, chickpea, red cherry tomato, vegetable, green chili pepper, sugar plum tomatoes, cocura, betel nut leaf, sweet potato leaf, Pu'er tea, blueberry, timothy grass, grape tomato, nasturtium flower, spring roll, purple mangosteen, turkish fig, cauliflower, potato chip, white mushroom, frisee lettuce, coconut, golden berry, curry plant, mint, beet, cabbage, barlett pear, white peach, butter leaf lettuce, duck breast, marigold, avocado, molasses, shishito pepper, purple carrot, mustard greens, mint mojito, complex, lemon balm, d anjou pear, green tomato, corn, blue cheese, Oolong tea, asian pear, potato, cherry, eggplant, Green tea, grain/grass, red lentil, dandelion green, romaine lettuce, thyme, smoked paprika, red leaf lettuce, coffee, onion, fleshy fruit, bok choy, tarragon, marjoram, sage, pear, miyaki mushroom, hass avocado, morel, garlic, pepperonchini, dill flower, brussel sprout, green squash, broccoli, fig, shiitake mushroom, green fennel, oregano, cannabis leaf, jicama, dragonfruit, Jerusalem artichoke, chicken, hemp, thai eggplant, mashed potato, salmon, fava bean, spicy pepper, sungold tomato, tea, blackberry, soybean, durum wheat, white carrot, tomatillo, turkey, garbanzo bean, mushroom plant, pea, roma tomato, pork cheek, grape, green curly baby romaine, corn husk, black mission fig, oyster mushroom, ground cherry, heirloom tomato, sweet potato, lacinato kale, lettuce, bay leaf, thai basil, heirloom lettuce, beef short rib, celery, purple lettuce, white onion)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-ef81126a-d881-4362-8770-fd5e6ddd14a5	Not applicable		2025-01-30T22:32:50.133244	GWTUHAXUUFROTF-AVXJPILUSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006682340	"1,7-Dimethyluric acid"	CN1C(=O)NC2=C(N(C)C(=O)N2)C1=O		Diet											Diet						32933151				"Biomarker based on literature search for: (coffee); Found in foodMASST for: (IPA, Flavored Black tea, cauliflower, kombucha, havarti cheese, strawberry jam, crystal hops, tea, sparkling water, olive, green bean, honey, galangal, carrot, complex, vanilla bean, fruit, brown sea vegetable, animal, vegetable/herb, Matcha tea, plant, soda, milk_cow, pork fat, Green tea, grain/grass, coffee,Oolong tea, white, heirloom lettuce, Pu'er tea, cream_cow, riesling, Black tea)"	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-ba40e3ae-1a51-412b-a76b-6efcc6a5b2a7	Not applicable		2025-01-30T23:15:18.514406	NOFNCLGCUJJPKU-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005770645	2-acetyl-2-thiazoline	CC(=O)C1=NCCS1		Diet											Diet						36144849				"Biomarker based on literature search for: (Meat, rice, shiitake mushroom)"	c0fbfdf61b28442dadd0b3ef159ef01a	wilhan.nunes	c0fbfdf61b28442dadd0b3ef159ef01a-3feabd1c-58e6-4d88-a273-94264342adbc	Not applicable		2025-01-31T00:32:05.426192	FZOZFDAMVVEZSJ-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005775706	"2-amino-1-methyl-6-phenylimidazo [4,5-b] pyridine (PhIP)"	Cn1c(N)nc2ncc(cc12)c3ccccc3		Diet											Diet						34366447				Biomarker based on literature search for: (plain beef and chicken juices); Carcniogen formed during cooking of meats.	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-ef18deda-6b2f-4188-aaa3-30fc7570b1c8	Not applicable		2025-01-30T23:16:01.004128	UQVKZNNCIHJZLS-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005772143	"2-amino-3-methylimidazo [4,5-f] quinoline (IQ)"	Cn1c(N)nc2c1ccc3ncccc23		Diet											Diet						34366447				"Biomarker based on literature search for: (plain beef and chicken juices); Found in foodMASST for: (sumac, sumac, orange); Carcniogen formed during cooking of meats."	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-a4a8ae67-54a2-4d4c-80e5-ff3132247317	Not applicable		2025-01-30T23:16:07.271752	ARZWATDYIYAUTA-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005773819	"2-amino-3,8-dimethylimidazo [4,5-f] quinoxaline (MeIQx)"	Cn1c(N)nc2c1ccc3ncc(C)nc23		Diet											Diet						34366447				Biomarker based on literature search for: (plain beef and chicken juices); Carcniogen formed during cooking of meats.	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-568aa193-061e-44a2-9099-56abac37252c	Not applicable		2025-01-30T23:16:04.096620	DVCCCQNKIYNAKB-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006676655	2-Furoylglycine	OC(=O)CNC(=O)c1occc1		Diet											Diet						29997698				"Biomarker based on literature search for: (heated food,coffee)"	fa5720ff3e6845f7bb352845ac178c2f	wilhan.nunes	fa5720ff3e6845f7bb352845ac178c2f-5ce8b497-0672-4c79-9c98-6e1449c35fb2	Not applicable		2025-01-30T23:23:10.341495	KSPQDMRTZZYQLM-UHFFFAOYSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000222889	2-Hexenal	CCC/C=C/C=O		Diet; Unknown/Undefined											Diet; Microbial						30333650				Biomarker based on literature search for: (orange juice)	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-369d4584-c1e5-4e46-847a-5f0029b58361	Not applicable		2025-01-30T22:30:20.234525	MBDOYVRWFFCFHM-SNAWJCMRSA-N		No NPAtlas
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012350709	"2,3-dihydroxy-benzoic acid"	OC(=O)c1cccc(O)c1O		Diet											Diet						35268605				"Biomarker based on literature search for: (cranberries and blueberries); Found in foodMASST for: (nutmeg, dragonfruit, apple_cider, turkey,dragonfruit)"	fd57221dda994c3cb62795a54ce7ca6c	wilhan.nunes	fd57221dda994c3cb62795a54ce7ca6c-1fa56d1d-827e-4c44-9866-15c347e014df	Not applicable		2025-01-30T22:32:53.955961	GLDQAMYCGOIJDV-UHFFFAOYSA-N	GLDQAMYCGOIJDV-UHFFFAOYSA-N	[NPAtlas](https://www.npatlas.org/explore/compounds/NPA015138)
