"featureID","DF","SpectrumID","Compound_Name","cas","compound_name","smiles"
"10896",0.0816044260027663,"CCMSLIB00010114577","(1R)-(-)-Nopol CollisionEnergy:102040","N/A","(1R)-(-)-Nopol CollisionEnergy:102040","CC1(C)C2CC=C(CCO)C1C2"
"333",0.228215767634855,"CCMSLIB00005885033","Phenylalanine - 40.00 eV","63-91-2","Phenylalanine - 40.00 eV","N[C@@H](CC1=CC=CC=C1)C(O)=O"
"14694",0.00691562932226833,"CCMSLIB00003138966","Spectral Match to Azelaic acid from NIST14","123999","Spectral Match to Azelaic acid from NIST14","C(CCCC(=O)O)CCCC(=O)O"
"12935",0.0138312586445367,"CCMSLIB00005764447","Massbank:LU071701 epsilon-Decalactone|7-butyloxepan-2-one","5579-78-2","Massbank:LU071701 epsilon-Decalactone|7-butyloxepan-2-one","CCCCC1CCCCC(=O)O1"
"10969",0.00138312586445367,"CCMSLIB00010102353","""9,10-dihydrojasmonic acid CollisionEnergy:102040""","N/A","""9,10-dihydrojasmonic acid CollisionEnergy:102040""","CCCCC[C@@H]1[C@H](CCC1=O)CC(=O)O"
"19",0.0663900414937759,"CCMSLIB00000205785","Massbank:CE000230 Tyrosine","N/A","Massbank:CE000230 Tyrosine","C1=CC(=CC=C1CC(C(=O)O)N)O"
"9611",0.0221300138312586,"CCMSLIB00003134695","Spectral Match to Sinapyl alcohol from NIST14","537337","Spectral Match to Sinapyl alcohol from NIST14","COC1=CC(=CC(=C1O)OC)/C=C/CO"
"13456",0.302904564315353,"CCMSLIB00005777248","Massbank:AU285006 N-Methyldodecylamine|N-methyldodecan-1-amine","5702-82-9","Massbank:AU285006 N-Methyldodecylamine|N-methyldodecan-1-amine","CCCCCCCCCCCCNC"
"12752",0.0193637621023513,"CCMSLIB00005777248","Massbank:AU285006 N-Methyldodecylamine|N-methyldodecan-1-amine","5702-82-9","Massbank:AU285006 N-Methyldodecylamine|N-methyldodecan-1-amine","CCCCCCCCCCCCNC"
"11247",0.0152143845089903,"CCMSLIB00005766570","Massbank:LU068404 N,N-Dimethyldecylamine oxide|1-Decanamine, N,N-dimethyl-, N-oxide|N,N-dimethyldecan-1-amine oxide","2605-79-0","Massbank:LU068404 N,N-Dimethyldecylamine oxide|1-Decanamine, N,N-dimethyl-, N-oxide|N,N-dimethyldecan-1-amine oxide","CCCCCCCCCC[N+](C)(C)[O-]"
"929",0.0484094052558783,"CCMSLIB00005883948","D-TRYPTOPHAN - 50.0 eV","153-94-6","D-TRYPTOPHAN - 50.0 eV","N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O"
"11033",0.00138312586445367,"CCMSLIB00011434959","Ala-C8:0","N/A","Ala-C8:0","CCCCCCCC(NC(C(O)=O)C)=O"
"14285",0.467496542185339,"CCMSLIB00000842021","MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide","1643-20-5","MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide","CCCCCCCCCCCC[N+](C)(C)[O-]"
