"","compound_name","synonyms","manual_classification","inchikey","smiles"
"1","gsk_525768a","['GSK 525768A', '1260530-25-3', '2-[(4R)-6-(4-Chlorophenyl)-8-methoxy-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepin-4-yl]-N-ethylacetamide', 'GSK525768A', 'GSK-525762A', 'CHEMBL2153435', 'SCHEMBL12966358', 'DTXSID50680634', '(S)-2-(6-(4-Chlorophenyl)-8-methoxy-1-methyl-4H-benzo-[f][1,2,4]triazolo[4,3-a][1,4]diazepin-4-yl)-N-ethylacetamide', 'BCP14256', '(-)-I-BET762', 'HY-13032A', 'ZINC72190293', 'CS-1255', 'GSK-525768', 'GSK525762A(Molibresib I-BET762)', 'NCGC00345173-01', 'NCGC00345173-02', 'A14134', 'A908752', '(4R)-6-(4-Chlorophenyl)-N-ethyl-8-methoxy-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine-4-acetamide']","Medical","AAAQFGUYHFJNHI-GOSISDBHSA-N","CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21"
"2","1260907_17_2","['Molibresib', '1260907-17-2', 'I-BET762', 'GSK525762', 'GSK525762A', 'I-BET-762', 'GSK 525762A', 'I-BET 762', 'GSK-525762', 'Bet inhibitor GSK525762', '(S)-2-(6-(4-Chlorophenyl)-8-methoxy-1-methyl-4H-benzo[f][1,2,4]triazolo[4,3-a][1,4]diazepin-4-yl)-N-ethylacetamide', '5QIO6SRZ2R', '2-[(4s)-6-(4-Chlorophenyl)-8-Methoxy-1-Methyl-4h-[1,2,4]triazolo[4,3-A][1,4]benzodiazepin-4-Yl]-N-Ethylacetamide', 'CHEMBL1232461', 'GSK-525762A', 'CS-0717', 'GSK-525762A (I-BET 762)', '4H-[1,2,4]Triazolo[4,3-a][1,4]benzodiazepine-4-acetamide, 6-(4-chlorophenyl)-N-ethyl-8-methoxy-1-methyl-, (4S)-', 'EAM', 'UNII-5QIO6SRZ2R', '2yek', 'iBET', '(S)-2-(6-(4-Chlorophenyl)-8-methoxy-1-methyl-4H-benzo-[f][1,2,4]triazolo[4,3-a][1,4]diazepin-4-yl)-N-ethylacetamide', 'Molibresib (USAN)', '3p5o', 'Molibresib (I-BET-762)', 'GTPL7033', 'SCHEMBL1872390', 'CHEBI:95082', 'DTXSID60677590', 'EX-A462', 'BCP07337', 'BDBM50365463', 'MFCD22417091', 'NSC774829', 's7189', 'ZINC58655571', 'AKOS025404837', 'CCG-208698', 'NSC-774829', 'NCGC00263621-02', 'NCGC00263621-04', 'NCGC00263621-06', 'AC-32712', 'AS-16364', 'BP-23442', 'HY-13032', 'GSK-525762A(I-BET-762)', 'I-BET762, >=98% (HPLC)', 'B1498', 'SW220225-1', 'D11326', 'J-005327', 'Q27078016', '(4S)-6-(4-Chlorophenyl)-N-ethyl-8-methoxy-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine-4-acetamide', '2-((4S)-6-(4-Chlorophenyl)-8-methoxy-1-methyl-4H-benzo[f][1,2,4]triazolo[4,3-a][1,4]diazepin-4-yl)-N-ethylacetamide', '2-[(4S)-6-(4-Chlorophenyl)-1-methyl-8-(methyloxy)-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepin-4-yl]-N-ethylacetamide']","Medical","AAAQFGUYHFJNHI-SFHVURJKSA-N","CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21"
"3","elenbecestat","['Elenbecestat', '1388651-30-6', 'E2609', 'E-2609', 'RXJ96XL94H', 'N-[3-[(4aS,5R,7aS)-2-amino-5-methyl-4,4a,5,7-tetrahydrofuro[3,4-d][1,3]thiazin-7a-yl]-4-fluorophenyl]-5-(difluoromethyl)pyrazine-2-carboxamide', 'Elenbecestat [INN]', 'Elenbecestat [USAN]', 'Elenbecestat; E2609', 'Elenbecestat (JAN/USAN)', 'Elenbecestat [USAN:INN]', 'UNII-RXJ96XL94H', 'GTPL9818', 'SCHEMBL2620149', 'CHEMBL4204869', 'EX-A3151', 'BDBM50510823', 's8600', 'DB15391', 'AC-36887', 'HY-109055', 'CS-0031645', 'E2609E2609', 'D11509', 'D87146', 'E 2609', '2-Pyrazinecarboxamide, N-(3-((4aS,5R,7aS)-2-amino-5,7-dihydro-5-methyl-4H-furo(3,4-d)(1,3)thiazin-7a(4ah)-yl)-4-fluorophenyl)-5-(difluoromethyl)-', 'N-(3-((4aS,5R,7aS)-2-Amino-5-methyl-4a,5-dihydro-4H-furo(3,4-d)(1,3)thiazin-7a(7H)-yl)-4-fluorophenyl)-5-(difluoromethyl)pyrazine-2-carboxamide']","Medical","AACUJFVOHGRMTR-DPXNYUHVSA-N","CC1OCC2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SCC12"
"4","dianhydrogalactitol","['VAL-083', '23261-20-3', 'Dianhydrodulcitol', 'Dianhydrogalactitol', '1,2:5,6-DIANHYDROGALACTITOL', 'Dulcitol diepoxide', '4S465RYF7M', 'NSC-132313', '1,2-5,6-Dianhydro-dulcitol', 'Dulcitoldiepoxide', '(1R,2S)-1-((R)-oxiran-2-yl)-2-((S)-oxiran-2-yl)ethane-1,2-diol', 'UNII-4S465RYF7M', 'Dianhydrogalactitol [USAN:INN]', '1,2:5,6-dianhdrogalactitol', 'SCHEMBL4306431', 'VAL083', 'CHEMBL3137322', 'Dianhydrogalactitol (USAN/INN)', 'DTXSID90878831', 'ZINC4963497', 'CS-1358', 'DB12873', 'NSC-1323313', 'HY-16513', 'D10623', 'D87165', 'J-015059', 'Q27260414', '(1S,2R)-1-[(2S)-oxiran-2-yl]-2-[(2R)-oxiran-2-yl]ethane-1,2-diol']","Medical",NA,NA
"5","erlotinib","['Erlotinib', '183321-74-6', 'CP-358774', 'NSC 718781', 'OSI-774', 'N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine', 'Erlotinib free base', '4-[(3-Ethynylphenyl)amino]-6,7-bis(2-methoxyethoxy)quinazoline', '4-Quinazolinamine, N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-', 'N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine', '183321-74-6 (free base)', 'CHEMBL553', 'J4T82NDH7E', '[6,7-BIS(2-METHOXY-ETHOXY)QUINAZOLINE-4-YL]-(3-ETHYNYLPHENYL)AMINE', 'CP358774', 'CHEBI:114785', 'MFCD02089651', 'NCGC00164574-01', '[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine', 'DSSTox_CID_26454', 'DSSTox_RID_81628', 'DSSTox_GSID_46454', 'CP-358,774', 'Erlotinib(Tarceva)', 'OSI-744', 'CAS-183321-74-6', 'NSC718781', 'RG-1415', 'Erlotinib [INN:BAN]', 'SR-05000001460', 'UNII-J4T82NDH7E', 'erlotinibum', 'Erotinib', 'R-1415', 'HSDB 8082', 'OSI 744', 'nchembio866-comp3', 'Erlotinib, Free Base', 'Kinome_3317', 'n-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine monohydrochloride', 'R 1415', 'SCHEMBL8413', 'BDBM5446', 'cid_176870', 'GTPL4920', 'DTXSID8046454', 'HMS2089F05', 'HMS3244M19', 'HMS3244M20', 'HMS3244N19', 'HMS3295A19', 'HMS3713C22', 'HMS3745M05', 'ZINC1546066', 'Tox21_112202', 'AC-399', 'NSC800097', 's7786', 'STK623143', 'AKOS000282911', 'Tox21_112202_1', 'CCG-220420', 'CS-0620', 'DB00530', 'NSC-800097', 'Ro-508231', 'SB16916', 'NCGC00164574-03', 'NCGC00164574-05', 'NCGC00164574-06', 'NCGC00164574-14', 'NCGC00164574-25', 'AS-35132', 'BCB03_000783', 'BE164419', 'HY-50896', 'SY028059', 'AM20090621', 'FT-0651539', 'R1415', 'CP-35877401', 'K00241', 'AB01273955-01', 'AB01273955-02', 'AB01273955-03', '321E746', 'Q418369', 'SR-05000001460-1', 'SR-05000001460-2', 'SR-05000001460-3', 'SR-05000001460-6', 'BRD-K70401845-003-04-7', '1429636-49-6']","Medical","AAKJLRGGTJKAMG-UHFFFAOYSA-N","C#Cc1cccc(N=c2[nH]cnc3cc(OCCOC)c(OCCOC)cc23)c1"
"6","erlotinib","['Erlotinib', '183321-74-6', 'CP-358774', 'NSC 718781', 'OSI-774', 'N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine', 'Erlotinib free base', '4-[(3-Ethynylphenyl)amino]-6,7-bis(2-methoxyethoxy)quinazoline', '4-Quinazolinamine, N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-', 'N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine', '183321-74-6 (free base)', 'CHEMBL553', 'J4T82NDH7E', '[6,7-BIS(2-METHOXY-ETHOXY)QUINAZOLINE-4-YL]-(3-ETHYNYLPHENYL)AMINE', 'CP358774', 'CHEBI:114785', 'MFCD02089651', 'NCGC00164574-01', '[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine', 'DSSTox_CID_26454', 'DSSTox_RID_81628', 'DSSTox_GSID_46454', 'CP-358,774', 'Erlotinib(Tarceva)', 'OSI-744', 'CAS-183321-74-6', 'NSC718781', 'RG-1415', 'Erlotinib [INN:BAN]', 'SR-05000001460', 'UNII-J4T82NDH7E', 'erlotinibum', 'Erotinib', 'R-1415', 'HSDB 8082', 'OSI 744', 'nchembio866-comp3', 'Erlotinib, Free Base', 'Kinome_3317', 'n-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine monohydrochloride', 'R 1415', 'SCHEMBL8413', 'BDBM5446', 'cid_176870', 'GTPL4920', 'DTXSID8046454', 'HMS2089F05', 'HMS3244M19', 'HMS3244M20', 'HMS3244N19', 'HMS3295A19', 'HMS3713C22', 'HMS3745M05', 'ZINC1546066', 'Tox21_112202', 'AC-399', 'NSC800097', 's7786', 'STK623143', 'AKOS000282911', 'Tox21_112202_1', 'CCG-220420', 'CS-0620', 'DB00530', 'NSC-800097', 'Ro-508231', 'SB16916', 'NCGC00164574-03', 'NCGC00164574-05', 'NCGC00164574-06', 'NCGC00164574-14', 'NCGC00164574-25', 'AS-35132', 'BCB03_000783', 'BE164419', 'HY-50896', 'SY028059', 'AM20090621', 'FT-0651539', 'R1415', 'CP-35877401', 'K00241', 'AB01273955-01', 'AB01273955-02', 'AB01273955-03', '321E746', 'Q418369', 'SR-05000001460-1', 'SR-05000001460-2', 'SR-05000001460-3', 'SR-05000001460-6', 'BRD-K70401845-003-04-7', '1429636-49-6']","Medical",NA,NA
"7","erlotinib","['Erlotinib', '183321-74-6', 'CP-358774', 'NSC 718781', 'OSI-774', 'N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine', 'Erlotinib free base', '4-[(3-Ethynylphenyl)amino]-6,7-bis(2-methoxyethoxy)quinazoline', '4-Quinazolinamine, N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-', 'N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine', '183321-74-6 (free base)', 'CHEMBL553', 'J4T82NDH7E', '[6,7-BIS(2-METHOXY-ETHOXY)QUINAZOLINE-4-YL]-(3-ETHYNYLPHENYL)AMINE', 'CP358774', 'CHEBI:114785', 'MFCD02089651', 'NCGC00164574-01', '[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine', 'DSSTox_CID_26454', 'DSSTox_RID_81628', 'DSSTox_GSID_46454', 'CP-358,774', 'Erlotinib(Tarceva)', 'OSI-744', 'CAS-183321-74-6', 'NSC718781', 'RG-1415', 'Erlotinib [INN:BAN]', 'SR-05000001460', 'UNII-J4T82NDH7E', 'erlotinibum', 'Erotinib', 'R-1415', 'HSDB 8082', 'OSI 744', 'nchembio866-comp3', 'Erlotinib, Free Base', 'Kinome_3317', 'n-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine monohydrochloride', 'R 1415', 'SCHEMBL8413', 'BDBM5446', 'cid_176870', 'GTPL4920', 'DTXSID8046454', 'HMS2089F05', 'HMS3244M19', 'HMS3244M20', 'HMS3244N19', 'HMS3295A19', 'HMS3713C22', 'HMS3745M05', 'ZINC1546066', 'Tox21_112202', 'AC-399', 'NSC800097', 's7786', 'STK623143', 'AKOS000282911', 'Tox21_112202_1', 'CCG-220420', 'CS-0620', 'DB00530', 'NSC-800097', 'Ro-508231', 'SB16916', 'NCGC00164574-03', 'NCGC00164574-05', 'NCGC00164574-06', 'NCGC00164574-14', 'NCGC00164574-25', 'AS-35132', 'BCB03_000783', 'BE164419', 'HY-50896', 'SY028059', 'AM20090621', 'FT-0651539', 'R1415', 'CP-35877401', 'K00241', 'AB01273955-01', 'AB01273955-02', 'AB01273955-03', '321E746', 'Q418369', 'SR-05000001460-1', 'SR-05000001460-2', 'SR-05000001460-3', 'SR-05000001460-6', 'BRD-K70401845-003-04-7', '1429636-49-6']","Medical","AAKJLRGGTJKAMG-UHFFFAOYSA-N","C#Cc1cccc(N=c2[nH]cnc3cc(OCCOC)c(OCCOC)cc23)c1"
"8","e3330","['E3330', '136164-66-4', 'APX-3330', 'E-3330', 'E 3330', 'CHEMBL578390', '11267UI968', '(2E)-2-[(4,5-dimethoxy-2-methyl-3,6-dioxocyclohexa-1,4-dien-1-yl)methylidene]undecanoic acid', '(E)-2-((4,5-dimethoxy-2-methyl-3,6-dioxocyclohexa-1,4-dien-1-yl)methylene)undecanoic acid', 'APX3330', '(2E)-3-(5-(2,3-Dimethoxy-6-methyl-1,4-benzoquinoyl))-2-nonyl-2-propenoic acid', 'SCHEMBL3758716', 'SCHEMBL3758719', 'HMS3886N15', 'UNII-11267UI968', 'APX 3330', 'EX-A2212', 'BDBM50303955', 's7445', 'ZINC14252145', 'CCG-268389', '(2E)-2-[(4,5-Dimethoxy-2-methyl-3,6-dioxo-1,4-cyclohexadien-1-yl)methylene]-undecanoic acid', 'HY-19357', 'CS-0015424', 'E3330, >=98% (HPLC)', 'A14440', 'A911827', '(E)-3-(4,5-dimethoxy-2-methyl-3,6-dioxocyclohexa-1,4-dienyl)-2-nonylpropenoic acid', '(E)-3-(5,6-Dimethoxy-3-methyl-14-dioxocyclohexa-25-dienyl)-2-nonylpropenoic Acid', 'Undecanoic acid, 2-((4,5-dimethoxy-2-methyl-3,6-dioxo-1,4-cyclohexadien-1-yl)methylene)-, (E)-']","Medical","AALSSIXXBDPENJ-FYWRMAATSA-N","CCCCCCCC=CC(=Cc1c(C)c(O)c(OC)c(OC)c1O)C(=O)O"
"9","unii_3k6270mg59","['SEP-363856 (hydrochloride)', '1310422-41-3', 'SEP-856 (hydrochloride)', 'UNII-3K6270MG59', 'SEP-363856', 'SEP-856', '1-[(7S)-5,7-dihydro-4H-thieno[2,3-c]pyran-7-yl]-N-methylmethanamine', '3K6270MG59', '1310426-33-5', 'Ulotaront', 'CHEMBL4650337', 'SCHEMBL14903737', 'GTPL10454', 'SEP-363856 (parent molecule)', 'SEP363856', 'ZINC205013646', 'HY-136109A', 'example 129 [WO2011069063A2]', 'CS-0119593', '(S)-1-(5,7-Dihydro-4H-thieno(2,3-C)pyran-7-yl)-N-methylmethanamine', '5H-Thieno(2,3-C)pyran-7-methanamine, 4,7-dihydro-N-methyl-, (7S)-']","Medical","ABDDQTDRAHXHOC-QMMMGPOBSA-N","CNCC1OCCc2ccsc21"
"10","butenafine","['Butenafine (Hydrochloride)', '101827-46-7', 'KP363 (Hydrochloride)', 'butenafine', '101828-21-1', 'Butenafina', 'Butenafinum', 'Butenafina [INN-Spanish]', 'Butenafine [INN]', 'Mentax', 'Butenafinum [INN-Latin]', 'Mentax-TC', '1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine', 'N-(p-tert-Butylbenzyl)-N-methyl-1-naphthalenemethylamine', 'Butenafine (INN)', 'CHEBI:3238', '91Y494NL0X', '101828-21-1 (free base)', '4-tert-butylbenzyl(methyl)(1-naphthalenemethyl)amine', 'NCGC00159511-02', 'DSSTox_CID_20657', 'DSSTox_RID_79525', 'DSSTox_GSID_40657', '(4-tert-Butyl-benzyl)-methyl-naphthalen-1-ylmethyl-amine', '(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine', '1-Naphthalenemethanamine, N-[[4-(1,1-dimethylethyl)phenyl]methyl]-N-methyl-', '4-tert-Butylbenzyl(methyl)(1-naphthalenemethyl)amine;4-tert-Butylbenzyl(methyl)(1-naphthalenemethyl)amine', '1-(4-tert-butylphenyl)-N-methyl-N-(1-naphthylmethyl)methanamine', 'CAS-101828-21-1', 'Butenafine [INN:BAN]', 'SR-05000001448', 'UNII-91Y494NL0X', 'Spectrum_001553', 'SpecPlus_000920', 'CHEMBL990', 'SCHEMBL65526', 'KBioSS_002033', 'BIDD:GT0236', 'DivK1c_007016', 'N-p-tert-Butylbenzyl-N-methyl-1-naphthalenemethylamine', 'DTXSID7040657', 'KBio1_001960', 'KBio2_002033', 'KBio2_004601', 'KBio2_007169', 'HMS2089O04', 'ZINC1530975', 'Tox21 111729', 'Tox21_111729', 'BDBM50436713', 'DL-101', 's5944', 'AKOS015894905', 'Tox21_111729_1', 'DB01091', 'NCGC00159511-03', 'NCGC00159511-04', 'AC-13296', 'AS-13357', 'HY-114518', 'CS-0063358', 'FT-0631018', 'C08067', 'D07596', 'AB00053744-02', 'AB00053744_03', '828B211', 'A854882', 'Q850729', 'J-000500', 'SR-05000001448-1', 'SR-05000001448-2', ""N-methyl-N-(4'-t-butylbenzyl)-1-naphthylmethylamine"", '[(4-tert-butylphenyl)methyl](methyl)(naphthalen-1-ylmethyl)amine', 'N-(4-(tert-Butyl)benzyl)-N-methyl-1-(naphthalen-1-yl)methanamine', 'N-(4-tert-butylbenzyl)-N-methyl-1-(naphthalen-1-yl)methanamine', 'N-Methyl-N-(naphthalen-1-ylmethyl)-1-(4-tert-butylphenyl)methanamine', '1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine; Butenafin']","Medical","ABJKWBDEJIDSJZ-UHFFFAOYSA-N","CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12"
