FEATURE_ID,NAME_USED,SYNONYMS,INCHIKEY,CPDAT_SUPERCLASSES,CPDAT_HARMONIZED,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
33,Hydroxyethanoic acid,"('Glycolic acid', 'Hydroxyacetic acid', 'Glycollic acid', 'Hydroxyethanoic acid', 'Acetic acid, hydroxy-')",AEMRFAOFKBGASW-UHFFFAOYSA-N,"['Vehicle', 'Personal care', 'Construction and building materials', 'Home maintenance', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO']
37,Phytosphingosine,"('Phytosphingosine', '(2s,3s,4r)-2-aminooctadecane-1,3,4-triol', 'Ribo-phytosphingosine', 'N-dodecanoyl-nbd-phytosphingosine', 'D-ribo-phytosphingosine')",AERBNCYCJBRYDG-KSZLIROESA-N,['Personal care'],['PERSONAL CARE'],"['ENDOGENOUS', 'FOOD', 'MEDICAL']","['ENDOGENOUS', 'PERSONAL CARE', 'FOOD']",['INFO'],['INFO']
56,Isoleucine,"('Isoleucine', '(2s,3s)-2-amino-3-methylpentanoic acid', '(s)-isoleucine', '(s,s)-isoleucine', 'H-ile-oh')",AGPKZVBTJJNPAG-WHFBIAKZSA-N,['Personal care'],['PERSONAL CARE'],"['FOOD', 'ENDOGENOUS']",['FOOD'],['FOOD'],"['FOOD', 'PERSONAL CARE']"
81,Para-aminobenzoic acid,"('Vitamin bx', 'Vitamin h1', 'P-aminobenzoic acid', 'Para-aminobenzoic acid', 'P-carboxyaniline')",,['Personal care'],['PERSONAL CARE'],"['MEDICAL', 'FOOD', 'INDUSTRIAL', 'PERSONAL CARE']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'FOOD', 'PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE', 'MEDICAL']"
158,Temovate,"('Clobetasol propionate', 'Clobetasol 17-propionate', 'Clobex', 'Dermovate', 'Temovate')",CBGUOGMQLZIXBE-XGQKBEPLSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],"['MEDICAL', 'PERSONAL CARE']",['MEDICAL']
357,Triclocarban,"('Triclocarban', 'Solubacter', 'Cutisan', 'Procutene', 'Genoface')",ICUTUKXCWQYESQ-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],"['PERSONAL CARE', 'MEDICAL', 'INDUSTRIAL']","['PERSONAL CARE', 'INDUSTRIAL']","['INDUSTRIAL', 'PERSONAL CARE']",['PERSONAL CARE']
372,Cyclocort,"('Amcinonide', 'Cyclocort', 'Amcinonidum', 'Triamcinolonacetatcyclopentanonid', 'Visderm')",ILKJAFIWWBXGDU-MOGDOJJUSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
387,Clarityn,"('Loratadine', 'Loratidine', 'Claritin', 'Alavert', 'Clarityn')",JCCNYMKQOSZNPW-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
418,Dichloroethanoic acid,"('Sodium dichloroacetate', 'Dichloracetic acid', 'Acetic acid, dichloro-', 'Dichloroethanoic acid', 'Dichlorethanoic acid')",JXTHNDFMNIQAHM-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],"['MEDICAL', 'INDUSTRIAL']",['INDUSTRIAL'],"['INDUSTRIAL', 'FOOD']","['MEDICAL', 'INDUSTRIAL']"
514,Dichlorophene,"('Dichlorophen', 'Dichlorophene', 'Dichlorofen', 'Dichlorphen', 'Didroxane')",MDNWOSOZYLHTCG-UHFFFAOYSA-N,['Specialty occupational products'],['INDUSTRIAL'],"['MEDICAL', 'INDUSTRIAL']","['MEDICAL', 'PERSONAL CARE', 'INDUSTRIAL']",['INFO'],['INFO']
563,Demykon,"('Chlorphenesin', 'Chlorophenesin', 'Adermykon', 'Gecophen', 'Demykon')",,['Personal care'],['PERSONAL CARE'],"['MEDICAL', 'PERSONAL CARE']",['INFO'],"['MEDICAL', 'PERSONAL CARE']","['MEDICAL', 'PERSONAL CARE']"
564,Atrazine,"('Atrazine', 'Gesaprim', 'Oleogesaprim', 'Chromozin', 'Aktikon')",MXWJVTOOROXGIU-UHFFFAOYSA-N,"['Landscape/yard', 'Laboratory supplies']",['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL']
626,Bifenthrin,"('Bifenthrin', 'Biphenthrin', 'Kappa-bifenthrin', 'Capture', 'Kappa-bifenthrine')",,"['Pesticides', 'Landscape/yard']",['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL']
644,Baysan,"('Climbazole', 'Climbazol', 'Baypival', 'Baysan', 'Crinipan ad')",OWEGWHBOCFMBLP-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['INFO'],['INFO'],['INFO'],['INFO']
715,Beta-cyfluthrin,"('β-cyfluthrin', 'Beta-cyfluthrin', '[(r)-cyano-(4-fluoro-3-phenoxyphenyl)methyl] (1s)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate', 'Beta-cyfluthrin 1000 microg/ml in hexane', 'Beta-cyfluthrin 100 microg/ml in n-hexane')",,['Pesticides'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL'],['INDUSTRIAL']
747,Elimite,"('Permethrin', 'Transpermethrin', 'Ambush', 'Pounce', 'Elimite')",RLLPVAHGXHCWKJ-UHFFFAOYSA-N,"['Pet care', 'Pesticides', 'Personal care', 'Construction and building materials']","['PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],"['MEDICAL', 'INDUSTRIAL']",['MEDICAL']
822,Clindamycin phosphate,"('Clindamycin (phosphate)', 'Clindamycin 2-dihydrogen phosphate', 'Clindamycin 2-phosphate', 'Clindamycin phosphate', 'Cleocin t')",UFUVLHLTWXBHGZ-MGZQPHGTSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
874,Clotrimazol,"('Clotrimazole', 'Lotrimin', 'Canesten', 'Mycelex', 'Clotrimazol')",VNFPBHJOKIVQEB-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
970,Panfungol,"('Ketoconazole', 'Ketoconazol', 'R 41400', 'Nizoral', 'Panfungol')",XMAYWYJOQHXEEK-OZXSUGGESA-N,"['Pet care', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['INFO', 'MEDICAL']",['INFO'],"['MEDICAL', 'PERSONAL CARE']",['INFO']
1059,Fluocyanobenpyrazole,"('Fipronil', 'Termidor', 'Rm 1601', 'Mb 46030', 'Fluocyanobenpyrazole')",,"['Pet care', 'Pesticides']",['INDUSTRIAL'],['INDUSTRIAL'],['INFO'],['INDUSTRIAL'],['INFO']
1109,Antabus,"('Disulfiram', 'Tetraethylthiuram disulfide', 'Antabuse', 'Bis(diethylthiocarbamoyl) disulfide', 'Antabus')",AUZONCFQVSMFAP-UHFFFAOYSA-N,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
1118,Isopropyl myristate,"('Isopropyl myristate', 'Isopropyl tetradecanoate', 'Tetradecanoic acid, 1-methylethyl ester', 'Bisomel', 'Isomyst')",,"['Cleaning products and household care', 'Pet care', 'Raw materials', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'MEDICAL']","['PERSONAL CARE', 'INDUSTRIAL']",['PERSONAL CARE'],"['PERSONAL CARE', 'MEDICAL', 'INDUSTRIAL']"
1126,Threonin,"('Threonine', '(2s,3r)-2-amino-3-hydroxybutanoic acid', 'Threonin', '(s)-threonine', 'H-thr-oh')",AYFVYJQAPQTCCC-GBXIJSLDSA-N,['Personal care'],['PERSONAL CARE'],"['FOOD', 'ENDOGENOUS']",['FOOD'],['FOOD'],['FOOD']
1137,Splenda,"('Sucralose', 'Trichlorosucrose', 'Splenda', 'Aspasvit', 'Acucar light')",BAQAVOSOZGMPRM-QBMZZYIRSA-N,"['Raw materials', 'Personal care', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']",['FOOD'],['FOOD'],['FOOD'],['FOOD']
1147,Kojic acid,"('Kojic acid', 'Acido kojico', 'Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)', 'Kojisaeure', 'Kojic acid solution')",,['Personal care'],['PERSONAL CARE'],"['FOOD', 'PERSONAL CARE', 'MEDICAL']","['PERSONAL CARE', 'FOOD', 'INDUSTRIAL']","['FOOD', 'PERSONAL CARE']","['PERSONAL CARE', 'FOOD']"
1148,Phenolsulfonphthalein,"('Phenol red (sodium salt)', 'Phenolsulfonephthalein sodium salt', 'Phenolsulfonphthalein', 'Fenolipuna', 'Sulfonphthal')",,"['Laboratory supplies', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']",['INDUSTRIAL'],"['MEDICAL', 'INDUSTRIAL']",['INDUSTRIAL'],"['MEDICAL', 'PERSONAL CARE']"
1158,Tert-butylhydroquinone,"('Tert-butylhydroquinone', 'T-butylhydroquinone', 'T-butyl hydroquinone', 'Mono-tert-butylhydroquinone', 'Sustane')",,"['Pesticides', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'INDUSTRIAL', 'PERSONAL CARE']","['FOOD', 'INDUSTRIAL']","['FOOD', 'INDUSTRIAL', 'PERSONAL CARE']","['FOOD', 'PERSONAL CARE', 'INDUSTRIAL']"
1175,Lanolin,"('Lanolin', 'Stearyl palmitate', 'Octadecyl palmitate', 'Octadecyl hexadecanoate', 'Hexadecanoic acid, octadecyl ester')",,"['Home maintenance', 'Cleaning products and household care', 'Cons. electronics, mech. appliances, and machinery', 'Personal care', 'Manufactured formulations', 'Landscape/yard']","['PERSONAL CARE', 'INDUSTRIAL']","['PERSONAL CARE', 'INDUSTRIAL', 'MEDICAL']",['PERSONAL CARE'],"['PERSONAL CARE', 'MEDICAL', 'INDUSTRIAL']","['PERSONAL CARE', 'INDUSTRIAL']"
1178,Malic acid,"('(s)-malic acid', '(s)-hydroxybutanedioic acid', '(s)-e 296', 'Malic acid', '(s)-2-hydroxysuccinic acid')",BJEPYKJPYRNKOW-UHFFFAOYSA-N,"['Personal care', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'ENDOGENOUS']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']","['FOOD', 'ENDOGENOUS', 'PERSONAL CARE']"
1179,Malate,"('Malic acid', 'Dmalic acid', '(r)-2-hydroxysuccinic acid', '(r)-malic acid', 'Malate')",BJEPYKJPYRNKOW-UHFFFAOYSA-N,"['Personal care', 'Cleaning products and household care']","['PERSONAL CARE', 'INDUSTRIAL']","['FOOD', 'ENDOGENOUS']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'INDUSTRIAL']","['ENDOGENOUS', 'FOOD']"
1184,Ursin,"('Arbutin', 'β-arbutin', 'Arbutoside', 'Ursin', 'Uvasol')",BJRNKVDFDLYUGJ-RMPHRYRLSA-N,['Personal care'],['PERSONAL CARE'],['INFO'],['INFO'],['INFO'],['INFO']
1185,Alpha-arbutin,"('α-arbutin', 'Alpha-arbutin', 'Alpha arbutin', '(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol', 'Alpha-d-glucopyranoside, 4-hydroxyphenyl')",BJRNKVDFDLYUGJ-ZIQFBCGOSA-N,['Personal care'],['PERSONAL CARE'],"['MEDICAL', 'PERSONAL CARE']",['PERSONAL CARE'],['PERSONAL CARE'],['PERSONAL CARE']
1191,Anaesthesin,"('Benzocaine', 'Ethyl 4-aminobenzoate', 'Ethyl aminobenzoate', 'Ethyl p-aminobenzoate', 'Anaesthesin')",BLFLLBZGZJTVJG-UHFFFAOYSA-N,"['Pet care', 'Personal care']","['PERSONAL CARE', 'INDUSTRIAL']","['MEDICAL', 'PERSONAL CARE']",['MEDICAL'],"['MEDICAL', 'PERSONAL CARE', 'INDUSTRIAL']",['MEDICAL']
1197,Ceramide 2,"('Ceramide 2', 'N-acetylsphingosine', 'N-acetyl-d-sphingosine', 'N-(acetyl)-sphing-4-enine', 'N-(acetyl)-ceramide')",,['Personal care'],['PERSONAL CARE'],"['MEDICAL', 'PERSONAL CARE', 'ENDOGENOUS']","['PERSONAL CARE', 'ENDOGENOUS']","['MEDICAL', 'ENDOGENOUS', 'PERSONAL CARE', 'FOOD']","['ENDOGENOUS', 'PERSONAL CARE']"
1220,N-oleoylethanolamide,"('Oleoylethanolamide', 'N-oleoylethanolamide', 'Oleamide mea', 'Oleic acid monoethanolamide', 'N-oleoylethanolamine')",BOWVQLFMWHZBEF-KTKRTIGZSA-N,['Personal care'],['PERSONAL CARE'],['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS'],"['ENDOGENOUS', 'FOOD']"
1232,Rhodamine 6g,"('Rhodamine 6g', 'Basic red 1', 'C.i. pigment red 81', 'Pigment red 81', '[9-(2-ethoxycarbonylphenyl)-6-(ethylamino)-2,7-dimethylxanthen-3-ylidene]-ethylazanium')",,['Arts and crafts/office supplies'],['INDUSTRIAL'],"['INDUSTRIAL', 'MEDICAL']",['INDUSTRIAL'],['INFO'],['INDUSTRIAL']
1237,Acylpyrin,"('Aspirin', 'Acetylsalicylic acid', 'O-acetylsalicylic acid', 'O-acetoxybenzoic acid', 'Acylpyrin')",,['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
1239,Piperidinic acid,"('γ-aminobutyric acid', 'Gamma-aminobutyric acid', 'Piperidic acid', 'Piperidinic acid', 'Aminalon')",,['Personal care'],['PERSONAL CARE'],"['INFO', 'ENDOGENOUS', 'FOOD']",['INFO'],"['ENDOGENOUS', 'FOOD', 'MEDICAL']",['INFO']
