FEATURE_ID,NAME_USED,SYNONYMS,CPDAT_SUPERCLASSES,CPDAT_HARMONIZED,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
0,I-bet762,"('(s)-2-(6-(4-chlorophenyl)-8-methoxy-1-methyl-4h-benzo-[f][1,2,4]triazolo[4,3-a][1,4]diazepin-4-yl)-n-ethylacetamide', 'I-bet762', '(4r)-6-(4-chlorophenyl)-n-ethyl-8-methoxy-1-methyl-4h-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine-4-acetamide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
1,Molibresib,"('Molibresib', 'I-bet762', 'I-bet-762', 'I-bet 762', '(s)-2-(6-(4-chlorophenyl)-8-methoxy-1-methyl-4h-benzo[f][1,2,4]triazolo[4,3-a][1,4]diazepin-4-yl)-n-ethylacetamide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
2,Elenbecestat,"('Elenbecestat', 'N-[3-[(4as,5r,7as)-2-amino-5-methyl-4,4a,5,7-tetrahydrofuro[3,4-d][1,3]thiazin-7a-yl]-4-fluorophenyl]-5-(difluoromethyl)pyrazine-2-carboxamide', 'Elenbecestat [inn]', 'Elenbecestat [usan]', 'Elenbecestat; e2609')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
3,Dianhydrodulcitol,"('Dianhydrodulcitol', 'Dianhydrogalactitol', 'Dulcitol diepoxide', 'Dulcitoldiepoxide', '(1r,2s)-1-((r)-oxiran-2-yl)-2-((s)-oxiran-2-yl)ethane-1,2-diol')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
4,Erlotinib,"('Erlotinib', 'N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine', 'Erlotinib free base', 'N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine', '[6,7-bis(2-methoxy-ethoxy)quinazoline-4-yl]-(3-ethynylphenyl)amine')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
5,"(2e)-3-(5-(2,3-dimethoxy-6-methyl-1,4-benzoquinoyl))-2-nonyl-2-propenoic acid","('E 3330', '(2e)-2-[(4,5-dimethoxy-2-methyl-3,6-dioxocyclohexa-1,4-dien-1-yl)methylidene]undecanoic acid', '(e)-2-((4,5-dimethoxy-2-methyl-3,6-dioxocyclohexa-1,4-dien-1-yl)methylene)undecanoic acid', '(2e)-3-(5-(2,3-dimethoxy-6-methyl-1,4-benzoquinoyl))-2-nonyl-2-propenoic acid', 'Ex-a2212')",[],,['MEDICAL'],['INFO'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
6,Ulotaront,"('Ulotaront', 'Example 129 [wo2011069063a2]', '(s)-1-(5,7-dihydro-4h-thieno(2,3-c)pyran-7-yl)-n-methylmethanamine')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
7,Butenafine,"('Butenafine (hydrochloride)', 'Butenafine', 'Butenafina', 'Butenafinum', 'Butenafina [inn-spanish]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
8,Ck 636,"('N-[2-(2-methyl-1h-indol-3-yl)ethyl]thiophene-2-carboxamide', 'Ck 636', 'N-[2-(2-methylindol-3-yl)ethyl]-2-thienylcarboxamide', 'N-(2-(2-methyl-1h-indol-3-yl)ethyl)thiophene-2-carboxamide', 'N-[2-(2-methyl-1h-indol-3-yl)ethyl]-2-thiophenecarboxamide')",[],,['INFO'],['INFO'],['INFO'],['INFO']
9,Samotolisib,"('Samotolisib', 'Samotolisib (usan)', 'Samotolisib [usan]', 'Ly 3023414', '(s)-8-(5-(2-hydroxypropan-2-yl)pyridin-3-yl)-1-(2-methoxypropyl)-3-methyl-1,3-dihydro-2h-imidazo[4,5-c]quinolin-2-one')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
10,Bilaxten,"('Bilastine', 'Bilaxten', 'Ilaxten', 'Bilastine [inn]', 'Bilastinum')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
11,Ibuprofen piconol,"('Ibuprofen piconol', 'Pimeprofen', 'Staderm', 'Vesicum', 'Pyridin-2-ylmethyl 2-(4-isobutylphenyl)propanoate')",[],,['INFO'],['MEDICAL'],['INFO'],['MEDICAL']
12,Dihydronicotinamide adenine dinucleotide phosphate,"('Dihydronicotinamide-adenine dinucleotide phosphate', 'Beta-nadph', 'Reduced nicotinamide adenine dinucleotide phosphate', 'Dihydronicotinamide adenine dinucleotide phosphate', 'Reduced nicotinamide-adenine dinucleotide phosphate')",[],,['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS']
13,Abapresin,"('Guanethidine (sulfate)', 'Guanethidine monosulfate', 'Ismelin', 'Oktadin', 'Abapresin')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
14,Pyrazoleanthrone,"('Pyrazolanthrone', 'Dibenzo[cd,g]indazol-6(2h)-one', 'Pyrazoleanthrone', 'Sp 600125', 'Anthra[1,9-cd]pyrazol-6(2h)-one')",[],,['INFO'],['INDUSTRIAL'],['INFO'],['INFO']
15,Corlentor,"('Ivabradine (hydrochloride)', 'Ivabradine', 'Corlanor', 'Corlentor', 'S 16257')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
16,Clodronate,"('Clodronate (disodium tetrahydrate)', 'Disodium clodronate tetrahydrate', 'Clodronic acid', 'Clodronate', '(dichloromethylene)diphosphonic acid')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
17,Olorinab,"('Olorinab', '(2s,4s)-n-[(2s)-1-hydroxy-3,3-dimethylbutan-2-yl]-9-(4-oxidopyrazin-4-ium-2-yl)-8,9-diazatricyclo[4.3.0.02,4]nona-1(6),7-diene-7-carboxamide', 'Olorinab [usan]', 'Compound 6 [pmid: 29259753]', '(1as,5as)-2-(4-oxy-pyrazin-2-yl)-1a,2,5,5a-tetrahydro-1h-2,3-diaza-cyclopropa(a)pentalene-4-carboxylic acid ((s)-1-hydroxymethyl-2,2-dimethyl-propyl)-amide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
18,Spiramycin,"('Spiramycin', 'Rovamycin', 'Spiramycin i', 'Formacidine', 'Spiramycin a')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
