FEATURE_ID,SOURCE,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
0,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
1,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
2,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
3,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
4,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
5,PUBMED,['MEDICAL'],['INFO'],"['MEDICAL', 'INDUSTRIAL']",['INFO']
6,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
7,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
8,PUBMED,['INFO'],['INFO'],['INFO'],['INFO']
9,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
10,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
11,PUBMED,['INFO'],['MEDICAL'],['INFO'],['MEDICAL']
12,WIKIPEDIA,['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS'],['ENDOGENOUS']
13,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
14,WIKIPEDIA,['INFO'],['INDUSTRIAL'],['INFO'],['INFO']
15,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
16,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
17,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
18,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
19,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
20,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
21,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
22,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
23,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
24,WIKIPEDIA,"['ENDOGENOUS', 'FOOD', 'MEDICAL', 'PERSONAL CARE']",['FOOD'],"['FOOD', 'PERSONAL CARE', 'MEDICAL']",['INFO']
25,WIKIPEDIA,"['FOOD', 'ENDOGENOUS', 'MEDICAL', 'PERSONAL CARE']","['ENDOGENOUS', 'FOOD']","['ENDOGENOUS', 'FOOD', 'PERSONAL CARE', 'MEDICAL']",['INFO']
26,WIKIPEDIA,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
27,PUBMED,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
