,FEATURE_ID,INDUSTRIAL,PERSONAL CARE
33,33,1,1
37,37,0,1
56,56,0,1
81,81,0,1
158,158,0,1
357,357,0,1
372,372,0,1
387,387,0,1
418,418,0,1
514,514,1,0
563,563,0,1
564,564,1,0
626,626,1,0
644,644,0,1
715,715,1,0
747,747,1,1
822,822,0,1
874,874,0,1
1059,1059,1,0
1109,1109,0,1
1118,1118,1,1
1126,1126,0,1
1137,1137,1,1
1147,1147,0,1
1148,1148,1,1
1158,1158,1,1
1175,1175,1,1
1178,1178,1,1
1184,1184,0,1
1185,1185,0,1
1191,1191,1,1
1197,1197,0,1
1220,1220,0,1
1232,1232,1,0
1237,1237,0,1
1239,1239,0,1
1257,1257,1,1
1260,1260,0,1
1270,1270,0,1
1280,1280,1,1
1297,1297,0,1
1298,1298,1,1
1306,1306,0,1
1307,1307,0,1
1321,1321,0,1
1329,1329,0,1
1347,1347,1,1
1348,1348,0,1
1358,1358,0,1
1365,1365,1,1
1371,1371,1,1
1379,1379,1,1
1393,1393,1,1
1401,1401,1,1
1418,1418,0,1
1424,1424,1,1
1433,1433,1,1
1448,1448,0,1
1456,1456,1,1
1458,1458,1,0
1459,1459,0,1
1461,1461,1,0
1472,1472,1,1
1492,1492,1,1
1493,1493,0,1
1500,1500,0,1
1501,1501,1,0
1512,1512,1,0
1530,1530,1,1
1547,1547,1,1
1548,1548,0,1
1567,1567,0,1
1573,1573,1,0
1582,1582,0,1
1637,1637,1,1
1640,1640,1,1
1652,1652,1,1
1658,1658,1,1
1659,1659,1,0
1682,1682,1,1
1687,1687,1,1
1696,1696,0,1
1736,1736,1,0
1740,1740,0,1
1745,1745,0,1
1747,1747,0,1
1748,1748,0,1
1758,1758,1,1
1780,1780,0,1
1789,1789,0,1
1793,1793,1,0
1824,1824,0,1
1843,1843,0,1
1874,1874,0,1
1898,1898,1,0
1901,1901,1,0
1905,1905,0,1
1916,1916,0,1
1928,1928,1,1
1947,1947,1,1
2019,2019,0,1
2052,2052,1,1
2055,2055,1,0
2056,2056,1,0
2069,2069,1,0
2087,2087,1,1
2088,2088,1,1
2099,2099,1,1
2111,2111,1,0
2120,2120,1,1
2124,2124,1,0
2125,2125,1,1
2135,2135,1,1
2146,2146,1,0
2182,2182,1,1
2204,2204,1,1
2206,2206,1,1
2221,2221,0,1
2222,2222,0,1
2223,2223,0,1
2242,2242,0,1
2244,2244,1,1
2247,2247,0,1
2251,2251,1,1
2293,2293,0,1
2301,2301,1,1
2318,2318,0,1
2322,2322,1,1
2329,2329,1,1
2332,2332,0,1
2353,2353,0,1
2374,2374,1,1
2379,2379,0,1
2380,2380,0,1
2392,2392,0,1
2395,2395,1,1
2419,2419,0,1
2424,2424,1,0
2435,2435,1,1
2469,2469,1,0
2470,2470,1,0
2485,2485,1,0
2498,2498,1,1
2503,2503,0,1
2514,2514,0,1
2530,2530,1,0
2533,2533,0,1
2541,2541,1,1
2542,2542,1,1
2568,2568,1,1
2600,2600,0,1
2601,2601,0,1
2602,2602,0,1
2603,2603,1,1
2610,2610,0,1
2614,2614,0,1
2637,2637,0,1
2645,2645,1,0
2659,2659,1,1
2684,2684,1,1
2693,2693,1,1
2703,2703,1,0
2704,2704,1,1
2740,2740,1,1
2756,2756,1,1
2758,2758,0,1
2761,2761,0,1
2789,2789,1,1
2790,2790,1,1
2821,2821,1,1
2847,2847,1,0
2866,2866,1,1
2867,2867,0,1
2872,2872,1,1
2877,2877,1,1
2887,2887,1,1
2900,2900,1,0
2909,2909,1,0
2923,2923,1,0
2933,2933,0,1
2977,2977,1,0
2978,2978,0,1
2985,2985,0,1
2988,2988,1,1
2996,2996,0,1
3017,3017,0,1
3034,3034,1,1
3053,3053,1,1
3061,3061,1,1
3082,3082,1,0
3099,3099,0,1
3100,3100,1,1
3125,3125,1,1
3155,3155,0,1
3159,3159,1,1
3186,3186,1,1
3202,3202,0,1
3209,3209,1,0
3235,3235,1,0
3280,3280,0,1
3293,3293,1,1
3308,3308,0,1
3327,3327,1,1
3345,3345,1,1
3347,3347,1,1
3377,3377,0,1
3391,3391,0,1
3396,3396,0,1
3397,3397,0,1
3436,3436,1,0
3437,3437,1,1
3464,3464,1,1
3466,3466,1,0
3474,3474,1,0
3479,3479,1,0
3494,3494,1,1
3506,3506,1,1
3508,3508,1,0
3516,3516,0,1
3517,3517,1,1
3520,3520,1,0
3522,3522,0,1
3524,3524,1,0
3530,3530,1,0
3534,3534,1,1
3544,3544,1,1
3567,3567,1,0
3579,3579,0,1
3610,3610,1,1
3617,3617,0,1
3618,3618,1,0
3624,3624,1,1
3629,3629,1,1
3646,3646,1,1
3652,3652,0,1
3704,3704,0,1
3709,3709,1,1
3726,3726,1,0
3738,3738,0,1
3796,3796,1,1
3811,3811,0,1
3817,3817,1,0
3819,3819,1,0
3826,3826,0,1
3829,3829,0,1
3873,3873,1,0
3888,3888,0,1
3909,3909,1,1
3918,3918,0,1
3923,3923,1,0
3926,3926,0,1
3933,3933,1,0
3963,3963,1,1
3964,3964,1,1
3971,3971,0,1
3978,3978,1,1
3983,3983,0,1
4016,4016,0,1
4017,4017,0,1
4023,4023,0,1
