,0,1,2
0,MEDICAL,,
1,MEDICAL,,
2,MEDICAL,,
3,MEDICAL,,
4,INFO,,
5,MEDICAL,,
6,MEDICAL,FOOD,PERSONAL CARE
7,INFO,,
8,MEDICAL,,
9,MEDICAL,,
10,MEDICAL,,
11,INFO,,
12,MEDICAL,,
13,MEDICAL,,
14,MEDICAL,,
15,INFO,,
16,MEDICAL,,
17,FOOD,,
18,MEDICAL,,
19,ENDOGENOUS,FOOD,
20,MEDICAL,,
21,MEDICAL,,
22,MEDICAL,,
23,MEDICAL,,
24,MEDICAL,,
25,INFO,,
26,ENDOGENOUS,,
27,ENDOGENOUS,,
28,MEDICAL,,
29,MEDICAL,,
30,MEDICAL,,
31,INDUSTRIAL,,
32,INFO,,
33,MEDICAL,,
34,MEDICAL,,
35,INFO,,
36,MEDICAL,,
37,MEDICAL,,
38,MEDICAL,,
39,MEDICAL,,
40,MEDICAL,,
41,INDUSTRIAL,,
42,FOOD,PERSONAL CARE,
43,ENDOGENOUS,INDUSTRIAL,
44,MEDICAL,,
45,INFO,,
46,MEDICAL,,
47,MEDICAL,,
48,INDUSTRIAL,,
49,MEDICAL,,
50,MEDICAL,,
51,MEDICAL,ENDOGENOUS,
52,MEDICAL,,
53,INFO,,
54,MEDICAL,,
55,MEDICAL,,
56,FOOD,,
57,MEDICAL,,
58,MEDICAL,,
59,MEDICAL,,
60,MEDICAL,,
61,MEDICAL,,
62,MEDICAL,,
63,MEDICAL,FOOD,
64,MEDICAL,,
65,MEDICAL,,
66,MEDICAL,,
67,MEDICAL,,
68,MEDICAL,,
69,MEDICAL,,
70,MEDICAL,,
71,INFO,,
72,MEDICAL,,
73,MEDICAL,,
74,MEDICAL,,
75,INFO,,
76,MEDICAL,,
77,MEDICAL,,
78,INFO,,
79,MEDICAL,,
80,MEDICAL,,
81,MEDICAL,,
82,MEDICAL,,
83,MEDICAL,,
84,FOOD,,
85,ENDOGENOUS,FOOD,
86,MEDICAL,,
87,MEDICAL,,
88,INFO,,
89,INFO,,
90,FOOD,,
91,FOOD,,
92,MEDICAL,,
93,FOOD,PERSONAL CARE,INDUSTRIAL
94,MEDICAL,,
95,MEDICAL,,
96,MEDICAL,,
97,MEDICAL,,
98,MEDICAL,,
99,MEDICAL,,
100,8.564955291003571,,
