,0,1,2
0,INFO,,
1,MEDICAL,,
2,MEDICAL,,
3,INFO,,
4,FOOD,,
5,MEDICAL,,
6,MEDICAL,PERSONAL CARE,FOOD
7,INFO,,
8,MEDICAL,,
9,MEDICAL,,
10,MEDICAL,,
11,INFO,,
12,MEDICAL,,
13,MEDICAL,,
14,MEDICAL,,
15,MEDICAL,,
16,MEDICAL,,
17,FOOD,,
18,MEDICAL,,
19,ENDOGENOUS,FOOD,
20,MEDICAL,,
21,MEDICAL,,
22,INFO,,
23,INFO,,
24,INFO,,
25,INFO,,
26,ENDOGENOUS,,
27,ENDOGENOUS,,
28,MEDICAL,,
29,MEDICAL,,
30,MEDICAL,,
31,INFO,,
32,INFO,,
33,INFO,,
34,MEDICAL,,
35,MEDICAL,,
36,MEDICAL,FOOD,
37,MEDICAL,,
38,INFO,,
39,INFO,,
40,INFO,,
41,INDUSTRIAL,,
42,INFO,,
43,ENDOGENOUS,INDUSTRIAL,
44,MEDICAL,,
45,INFO,,
46,MEDICAL,,
47,INFO,,
48,INFO,,
49,MEDICAL,,
50,INFO,,
51,MEDICAL,ENDOGENOUS,
52,INFO,,
53,INFO,,
54,MEDICAL,,
55,MEDICAL,,
56,FOOD,,
57,INFO,,
58,MEDICAL,,
59,INFO,,
60,MEDICAL,,
61,MEDICAL,,
62,MEDICAL,,
63,FOOD,MEDICAL,
64,MEDICAL,,
65,MEDICAL,,
66,MEDICAL,,
67,INFO,,
68,MEDICAL,,
69,MEDICAL,,
70,MEDICAL,,
71,ENDOGENOUS,FOOD,
72,MEDICAL,,
73,MEDICAL,,
74,MEDICAL,,
75,INFO,,
76,MEDICAL,,
77,MEDICAL,,
78,MEDICAL,,
79,MEDICAL,,
80,INFO,,
81,MEDICAL,,
82,MEDICAL,,
83,MEDICAL,,
84,INFO,,
85,ENDOGENOUS,FOOD,
86,INFO,,
87,MEDICAL,,
88,MEDICAL,,
89,INFO,,
90,INFO,,
91,FOOD,MEDICAL,
92,MEDICAL,,
93,FOOD,PERSONAL CARE,INDUSTRIAL
94,INFO,,
95,MEDICAL,,
96,MEDICAL,,
97,MEDICAL,,
98,INFO,,
99,MEDICAL,,
100,4.648809292004444,,
