"featureID","DF","SpectrumID","Compound_Name","cas","compound_name","smiles"
"2283",0.89908256880734,"CCMSLIB00005883854","L-VALINE - 60.0 eV","72-18-4","L-VALINE - 60.0 eV","CC(C)[C@H](N)C(O)=O"
"2301",0.00764525993883792,"CCMSLIB00006678511","THREITOL","N/A","THREITOL","C([C@H]([C@@H](CO)O)O)O"
"2651",0.833333333333333,"CCMSLIB00005885002","Leucine - 30.00 eV","61-90-5","Leucine - 30.00 eV","CC(C)C[C@H](N)C(O)=O"
"13846",0.163608562691131,"CCMSLIB00010114544","CARVEOL CollisionEnergy:102040","N/A","CARVEOL CollisionEnergy:102040","C=C(C)C1CC=C(C)C(O)C1"
"1571",0.348623853211009,"CCMSLIB00005884397","1-METHYLNICOTINAMIDE - 40.00 eV","1005-24-9","1-METHYLNICOTINAMIDE - 40.00 eV","C[N+]1=CC=CC(=C1)C(N)=O"
"2161",0.527522935779816,"CCMSLIB00005464011","TRIGONELLINE","6138-41-6","TRIGONELLINE","C[N+]1=CC(=CC=C1)C([O-])=O"
"546",0.545871559633027,"CCMSLIB00006581630","spermidine","N/A","spermidine","NCCCCNCCCN"
"2133",0.987767584097859,"CCMSLIB00005883589","GLUTAMINE - 50.0 eV","56-85-9","GLUTAMINE - 50.0 eV","N[C@@H](CCC(N)=O)C(O)=O"
"3565",0.793577981651376,"CCMSLIB00003136298","Spectral Match to Tropic acid from NIST14","552636","Spectral Match to Tropic acid from NIST14","C1=CC=C(C=C1)C(CO)C(=O)O"
"2461",0.882262996941896,"CCMSLIB00006682581","METHIONINE","N/A","METHIONINE","CSCC[C@@H](C(=O)O)N"
"3223",0.207951070336391,"CCMSLIB00006113962","Paracetamol - 40.0 eV","","Paracetamol - 40.0 eV","CC(=O)Nc1ccc(cc1)O"
"5317",0.729357798165138,"CCMSLIB00000841505","MassbankEU:SM805001 4-Acetamidophenol|Acetaminophen|N-(4-hydroxyphenyl)acetamide","103-90-2","MassbankEU:SM805001 4-Acetamidophenol|Acetaminophen|N-(4-hydroxyphenyl)acetamide","CC(=O)NC1=CC=C(O)C=C1"
"5637",0.105504587155963,"CCMSLIB00000579488","4-Acetamidophenol","N/A","4-Acetamidophenol","CC(=O)NC1=CC=C(O)C=C1"
"10025",0.00152905198776758,"CCMSLIB00006683576","1-AMINOADAMANTANE","N/A","1-AMINOADAMANTANE","C1C2CC3CC1CC(C2)(C3)N"
"12596",0.952599388379205,"CCMSLIB00010111341","vanillin CollisionEnergy:102040","N/A","vanillin CollisionEnergy:102040","COc1cc(C=O)ccc1O"
"8885",0.339449541284404,"CCMSLIB00003136815","Spectral Match to (1S,4R)-p-Mentha-2,8-dien-1-ol from METLIN","22972-51-6","Spectral Match to (1S,4R)-p-Mentha-2,8-dien-1-ol from METLIN","CC(=C)[C@@H]1CC[C@](C=C1)(C)O"
