,MEDICAL,FOOD,INDUSTRIAL,PERSONAL CARE,ENDOGENOUS,INFO
Obatoclax,163,0,0,0,0,0
Tirapazamine,163,0,0,0,0,0
Penlac,163,0,0,0,0,0
(z) fluvoxamine,163,0,0,0,0,0
N-methylephedrine,163,163,0,0,0,0
Albetol,163,0,0,0,0,0
Kavain,0,0,0,0,0,163
Lanacrist,163,0,0,0,0,0
Bx 471,163,0,0,0,0,0
Stedesa,163,0,0,0,0,0
Oxeladin,163,0,0,0,0,0
Gynazole-1,163,0,0,0,0,0
Fanapta,163,0,0,0,0,0
Tertran,163,0,0,0,0,0
Cevipabulin,163,0,0,0,0,0
Vitamin k2,20,163,0,7,0,0
Avigan,163,0,0,0,0,0
Dyclonin,163,0,0,163,0,0
Timapiprant,163,0,0,0,0,0
Iptacopan,163,0,0,0,0,0
Talipexole,163,0,0,0,0,0
Rythmol,163,0,0,0,0,0
Campral,163,0,0,0,0,0
Quinine sulfate,163,163,0,0,0,0
Lyrica,163,0,0,0,0,0
Avutometinib,163,0,0,0,0,0
Ursofalk,163,0,0,0,163,0
Clebopride,163,0,0,0,0,0
Adnephrine,163,0,0,0,163,0
Elraglusib,163,0,0,0,0,0
Apitolisib,163,0,0,0,0,0
Fludara,163,0,0,0,0,0
Cenicriviroc,163,0,0,0,0,0
Noxafil,163,0,0,0,0,0
Basmisanil,163,0,0,0,0,0
Tranylcypromine,163,0,0,0,0,0
Ginsenoside rb3,0,0,0,0,0,163
Odomzo,163,0,0,0,0,0
Oxilan,163,0,0,0,0,0
Aygestin,163,0,0,0,0,0
Chlotride,163,0,0,0,0,0
Acetomorphine,0,0,0,0,0,163
Ceftezol,163,0,0,0,0,0
Larazotide,163,0,0,0,0,0
Vatalanib,163,0,0,0,0,0
Pyrazoloacridine,163,0,0,0,0,0
Epristeride,163,0,0,0,0,0
Progesterone (prometrium),163,0,0,0,103,0
Gemigliptin,163,0,0,0,0,0
Megestrol,163,0,0,0,0,0
