,MEDICAL,FOOD,INDUSTRIAL,PERSONAL CARE,ENDOGENOUS,INFO
Solamargine,0,100,0,0,0,0
Sulfanitran,0,0,100,0,0,0
Trans-piceid,0,100,0,0,0,0
Butylhydroxytoluene,0,100,100,100,0,0
Tricyclazole,0,0,100,0,0,0
Vanillate,0,100,0,0,0,0
Isoleucine,0,100,0,0,0,0
Alpha-linoleic acid,0,100,0,0,0,0
Sodium taurolithocholate,0,0,0,0,57,43
Isoascorbic acid,0,100,0,0,0,0
Arresten,0,0,0,0,100,0
Methylpyrrolidone,0,0,100,0,0,0
Formylformic acid,0,0,100,100,100,0
Pantothenic acid,0,100,0,100,0,0
Ethanedioic acid,0,100,100,100,0,0
Isopentanoic acid,0,100,100,100,0,0
Lipid crimson,0,0,100,0,0,0
Isomalt,0,100,88,0,0,0
Spermin,0,0,0,0,100,0
Trans-vaccenic acid,0,100,0,0,0,0
Capstar,0,0,0,0,0,100
P-nitrophenyl phosphate,0,0,96,0,0,4
N-acetylhistamine,0,0,0,0,0,100
Phloretol,0,81,0,0,0,19
Hydroxyethanoic acid,0,100,100,100,0,0
Curdlan,0,100,22,0,0,0
Anilide,0,0,90,0,0,10
Lysine,0,100,100,55,0,0
Xylite,0,100,13,100,0,0
Urocaninic acid,0,0,0,63,100,0
Chloromethylisothiazolinone,0,0,100,100,0,0
Maltotetraose,0,0,0,0,0,100
Liquorice,100,100,0,100,0,0
Secoisolariciresinol,0,100,0,0,0,0
Dihydroxyphenylethanol,0,100,0,0,0,0
Chitosamine,0,0,0,0,0,100
Butanedioic acid,0,100,100,0,100,0
Bornan-2-one,0,100,100,100,0,0
Uridine monophosphate,0,100,0,0,100,0
Octyl methoxycinnamate,0,0,0,100,0,0
Benzophenone-3,0,100,100,100,0,0
Uridine diphosphoglucose,0,0,0,0,100,0
Isopropyl myristate,0,0,0,100,0,0
Acetic acid amide,0,0,100,0,0,0
Aminoethanoic acid,0,100,100,0,100,0
Galangin flavanone,0,0,0,0,0,100
Tryptamine,0,98,0,0,100,0
Tetradecanoic acid,0,100,0,11,7,0
"N,n'-diphenyl-p-phenylenediamine",0,0,100,0,0,0
Hyodesoxycholic acid,0,0,0,0,0,100
