,MEDICAL,FOOD,INDUSTRIAL,PERSONAL CARE,ENDOGENOUS,INFO
Solamargine,0,67,0,0,0,0
Sulfanitran,0,17,51,0,0,0
Trans-piceid,0,67,0,0,0,0
Butylhydroxytoluene,0,67,67,67,0,0
Tricyclazole,0,0,67,0,0,0
Vanillate,0,67,0,0,0,0
Isoleucine,0,67,0,0,0,0
Alpha-linoleic acid,0,67,0,0,0,0
Sodium taurolithocholate,0,0,0,0,56,11
Isoascorbic acid,0,67,0,0,0,0
Arresten,0,0,0,0,67,0
Methylpyrrolidone,0,0,67,0,0,0
Formylformic acid,11,7,66,67,67,0
Pantothenic acid,0,67,0,1,0,0
Ethanedioic acid,0,67,67,67,0,0
Isopentanoic acid,0,67,18,49,4,0
Lipid crimson,0,19,67,1,0,2
Isomalt,0,67,31,1,0,0
Spermin,0,0,0,0,67,0
Trans-vaccenic acid,1,67,0,5,0,0
Capstar,52,0,65,0,0,0
P-nitrophenyl phosphate,0,0,67,0,0,0
N-acetylhistamine,0,0,0,0,0,67
Phloretol,0,67,0,0,0,0
Hydroxyethanoic acid,0,67,67,67,0,0
Curdlan,5,67,59,0,0,0
Anilide,0,0,67,0,0,0
Lysine,0,67,47,1,0,0
Xylite,10,67,66,67,0,0
Urocaninic acid,0,0,0,67,67,0
Chloromethylisothiazolinone,0,0,67,67,0,0
Maltotetraose,10,67,0,0,0,0
Liquorice,6,67,1,61,0,0
Secoisolariciresinol,0,67,0,0,0,0
Dihydroxyphenylethanol,0,67,0,0,0,0
Chitosamine,28,67,0,66,1,0
Butanedioic acid,0,67,67,0,67,0
Bornan-2-one,52,67,65,67,0,0
Uridine monophosphate,0,67,0,0,67,0
Octyl methoxycinnamate,0,0,0,67,0,0
Benzophenone-3,0,5,67,67,0,0
Uridine diphosphoglucose,0,0,0,0,67,0
Isopropyl myristate,67,0,3,67,0,0
Acetic acid amide,0,0,67,0,0,0
Aminoethanoic acid,0,67,62,14,67,0
Galangin flavanone,0,67,0,0,0,0
Tryptamine,0,38,0,0,60,5
Tetradecanoic acid,0,67,0,0,60,0
"N,n'-diphenyl-p-phenylenediamine",0,0,56,0,0,11
Hyodesoxycholic acid,0,0,67,0,0,0
