"featureID","DF","SpectrumID","Compound_Name","cas","compound_name","smiles"
"31903",0.000909090909090909,"CCMSLIB00006454531","6-Methylcoumarin","N/A","6-Methylcoumarin","O=C1OC=2C=CC(=CC2C=C1)C"
"77",0.0263636363636364,"CCMSLIB00005769446","Massbank:NA003450 Nicotine|3-[(2S)-1-methylpyrrolidin-2-yl]pyridine","54-11-5","Massbank:NA003450 Nicotine|3-[(2S)-1-methylpyrrolidin-2-yl]pyridine","CN1CCC[C@H]1c2cccnc2"
"1331",0.290909090909091,"CCMSLIB00005885036","Phenylalanine - 70.00 eV","63-91-2","Phenylalanine - 70.00 eV","N[C@@H](CC1=CC=CC=C1)C(O)=O"
"15884",0.00272727272727273,"CCMSLIB00003139773","Spectral Match to Cyclizine from NIST14","82928","Spectral Match to Cyclizine from NIST14","N/A"
"5904",0.315454545454545,"CCMSLIB00003136378","Spectral Match to Norharmane from NIST14","244633","Spectral Match to Norharmane from NIST14","C1=CC=C2C(=C1)C3=C(N2)C=NC=C3"
"3688",0.215454545454545,"CCMSLIB00003136378","Spectral Match to Norharmane from NIST14","244633","Spectral Match to Norharmane from NIST14","C1=CC=C2C(=C1)C3=C(N2)C=NC=C3"
"8178",0.0154545454545455,"CCMSLIB00003136380","Spectral Match to trans-Ferulic acid from NIST14","537984","Spectral Match to trans-Ferulic acid from NIST14","COC1=C(C=CC(=C1)/C=C/C(=O)O)O"
"358",0.0345454545454545,"CCMSLIB00005741730","Massbank:PR310815 Nicotine-N-oxide","N/A","Massbank:PR310815 Nicotine-N-oxide","[O-][N+]2(C)(CCCC2(C1=CN=CC=C1))"
"1983",0.217272727272727,"CCMSLIB00005464198","THEOBROMINE","83-67-0","THEOBROMINE","CN1C=NC2=C1C(=O)NC(=O)N2C"
"5399",0.0427272727272727,"CCMSLIB00005464198","THEOBROMINE","83-67-0","THEOBROMINE","CN1C=NC2=C1C(=O)NC(=O)N2C"
"244",0.714545454545455,"CCMSLIB00003139255","Spectral Match to L-Tyrosine from NIST14","60184","Spectral Match to L-Tyrosine from NIST14","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O"
"10805",0.00909090909090909,"CCMSLIB00005742394","Massbank:PR301579 Harman","N/A","Massbank:PR301579 Harman","CC1=C2NC3=CC=CC=C3C2=CC=N1"
"4261",0.05,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"5177",0.126363636363636,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"3170",0.34,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"2227",0.33,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"1148",0.221818181818182,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"1800",0.0345454545454545,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"1585",0.04,"CCMSLIB00003138550","Spectral Match to L-Tryptophan from NIST14","73223","Spectral Match to L-Tryptophan from NIST14","N/A"
"6180",0.00363636363636364,"CCMSLIB00005775612","Massbank:AU265202 Phenazone|Antipyrine|1,5-dimethyl-2-phenylpyrazol-3-one","60-80-0","Massbank:AU265202 Phenazone|Antipyrine|1,5-dimethyl-2-phenylpyrazol-3-one","CN1N(C(=O)C=C1C)C1=CC=CC=C1"
"1634",0.0127272727272727,"CCMSLIB00005778093","Massbank:FIO00645 Kynurenic acid","492-27-3","Massbank:FIO00645 Kynurenic acid","OC(=O)c(c1)nc(c2)c(ccc2)c(O)1"
"7298",0.0427272727272727,"CCMSLIB00005778093","Massbank:FIO00645 Kynurenic acid","492-27-3","Massbank:FIO00645 Kynurenic acid","OC(=O)c(c1)nc(c2)c(ccc2)c(O)1"
"3418",0.207272727272727,"CCMSLIB00005778093","Massbank:FIO00645 Kynurenic acid","492-27-3","Massbank:FIO00645 Kynurenic acid","OC(=O)c(c1)nc(c2)c(ccc2)c(O)1"
"4770",0.0372727272727273,"CCMSLIB00005778093","Massbank:FIO00645 Kynurenic acid","492-27-3","Massbank:FIO00645 Kynurenic acid","OC(=O)c(c1)nc(c2)c(ccc2)c(O)1"
"3201",0.0281818181818182,"CCMSLIB00003138650","Spectral Match to Carbendazim from NIST14","10605217","Spectral Match to Carbendazim from NIST14","COC(=O)NC1=NC2=CC=CC=C2N1"
"22980",0.00454545454545455,"CCMSLIB00000086136","""MLS001333179-01!N,N-Diethyl-3-methylbenzamide134-62-3""","N/A","""MLS001333179-01!N,N-Diethyl-3-methylbenzamide134-62-3""","CCN(CC)C(=O)c1cccc(C)c1"
"4636",0.231818181818182,"CCMSLIB00000214467","Massbank:FIO00570 Caffeine","58-08-2","Massbank:FIO00570 Caffeine","Cn(c2)c(C(=O)1)c(n2)N(C)C(=O)N(C)1"
"5200",0.00272727272727273,"CCMSLIB00003139063","Spectral Match to Dibenzylamine from NIST14","103491","Spectral Match to Dibenzylamine from NIST14","C1=CC=C(C=C1)CNCC2=CC=CC=C2"
"5799",0.000909090909090909,"CCMSLIB00000077004","Tyzine","N/A","Tyzine","N/A"
"4291",0.0245454545454545,"CCMSLIB00005775022","Massbank:AU286004 Thiabendazole|4-(1H-benzimidazol-2-yl)-1,3-thiazole","945-65-3","Massbank:AU286004 Thiabendazole|4-(1H-benzimidazol-2-yl)-1,3-thiazole","N1C2=CC=CC=C2N=C1C1=CSC=N1"
